Time (sec), Vehicle speed (km/h), Instant fuel economy (l/100 km), Engine coolant temperature (°C), Engine RPM (RPM), Engine oil temperature (°C), Boost (bar), Engine Power (hp), Engine Torque (N•m), Manual Trans Neutral Gear Status
4.504,35,73.93242,89,2458,0,1.27,93.72658,271.5291,0
4.554,35,73.93242,89,2458,0,1.27,93.72658,271.5291,0
4.604,35,73.93242,89,2458,0,1.27,93.72658,271.5291,0
4.654,35,73.93242,89,2458,0,1.27,93.72658,271.5291,0
4.704,35,73.93242,89,2458,0,1.27,93.72658,271.5291,0
4.754,35,73.93242,89,2458,0,1.27,93.72658,271.5291,0
4.804,35,73.93242,89,2458,0,1.27,93.72658,271.5291,0
4.854,35,73.93242,89,2458,0,1.27,93.72658,271.5291,0
4.904,35,73.93242,89,2458,0,1.27,93.72658,271.5291,0
4.954,35,73.93242,89,2458,0,1.27,93.72658,271.5291,0
5.004,35,73.93242,89,2458,0,1.27,93.72658,271.5291,0
5.055,35,73.93242,89,2458,0,1.27,93.72658,271.5291,0
5.105,35,73.93242,89,2458,0,1.27,93.72658,271.5291,0
5.155,35,73.93242,89,2458,0,1.27,93.72658,271.5291,0
5.205,35,73.93242,89,2458,0,1.27,93.72658,271.5291,0
5.255,40,100.8862,89,2851,0,1.55,146.1677,365.0813,0
5.305,40,100.8862,89,2851,0,1.55,146.1677,365.0813,0
5.355,40,100.8862,89,2851,0,1.55,146.1677,365.0813,0
5.405,40,100.8862,89,2851,0,1.55,146.1677,365.0813,0
5.455,40,100.8862,89,2851,0,1.55,146.1677,365.0813,0
5.505,40,100.8862,89,2851,0,1.55,146.1677,365.0813,0
5.555,40,100.8862,89,2851,0,1.55,146.1677,365.0813,0
5.605,40,100.8862,89,2851,0,1.55,146.1677,365.0813,0
5.655,40,100.8862,89,2851,0,1.55,146.1677,365.0813,0
5.705,40,100.8862,89,2851,0,1.55,146.1677,365.0813,0
5.755,40,100.8862,89,2851,0,1.55,146.1677,365.0813,0
5.805,40,100.8862,89,2851,0,1.55,146.1677,365.0813,0
5.855,40,100.8862,89,2851,0,1.55,146.1677,365.0813,0
5.905,40,100.8862,89,2851,0,1.55,146.1677,365.0813,0
5.955,40,100.8862,89,2851,0,1.55,146.1677,365.0813,0
6.006,49,106.4458,89,3469,0,1.55,188.9229,387.8071,0
6.056,49,106.4458,89,3469,0,1.55,188.9229,387.8071,0
6.106,49,106.4458,89,3469,0,1.55,188.9229,387.8071,0
6.156,49,106.4458,89,3469,0,1.55,188.9229,387.8071,0
6.206,49,106.4458,89,3469,0,1.55,188.9229,387.8071,0
6.256,49,106.4458,89,3469,0,1.55,188.9229,387.8071,0
6.306,49,106.4458,89,3469,0,1.55,188.9229,387.8071,0
6.356,49,106.4458,89,3469,0,1.55,188.9229,387.8071,0
6.406,49,106.4458,89,3469,0,1.55,188.9229,387.8071,0
6.456,49,106.4458,89,3469,0,1.55,188.9229,387.8071,0
6.506,49,106.4458,89,3469,0,1.55,188.9229,387.8071,0
6.556,49,106.4458,89,3469,0,1.55,188.9229,387.8071,0
6.606,49,106.4458,89,3469,0,1.55,188.9229,387.8071,0
6.656,49,106.4458,89,3469,0,1.55,188.9229,387.8071,0
6.706,49,106.4458,89,3469,0,1.55,188.9229,387.8071,0
6.756,58,92.11323,89,4026,0,1.55,193.5129,342.2721,0
6.807,58,92.11323,89,4026,0,1.55,193.5129,342.2721,0
6.857,58,92.11323,89,4026,0,1.55,193.5129,342.2721,0
6.907,58,92.11323,89,4026,0,1.55,193.5129,342.2721,0
6.957,58,92.11323,89,4026,0,1.55,193.5129,342.2721,0
7.007,58,92.11323,89,4026,0,1.55,193.5129,342.2721,0
7.057,58,92.11323,89,4026,0,1.55,193.5129,342.2721,0
7.107,58,92.11323,89,4026,0,1.55,193.5129,342.2721,0
7.157,58,92.11323,89,4026,0,1.55,193.5129,342.2721,0
7.207,58,92.11323,89,4026,0,1.55,193.5129,342.2721,0
7.257,58,92.11323,89,4026,0,1.55,193.5129,342.2721,0
7.307,58,92.11323,89,4026,0,1.55,193.5129,342.2721,0
7.357,58,92.11323,89,4026,0,1.55,193.5129,342.2721,0
7.407,58,92.11323,89,4026,0,1.55,193.5129,342.2721,0
7.457,58,92.11323,89,4026,0,1.55,193.5129,342.2721,0
7.507,58,92.11323,89,4026,0,1.55,193.5129,342.2721,0
7.557,58,92.11323,89,4026,0,1.55,193.5129,342.2721,0
7.607,67,56.6315,89,3485,0,0.61,137.4335,280.8183,0
7.657,67,56.6315,89,3485,0,0.61,137.4335,280.8183,0
7.707,67,56.6315,89,3485,0,0.61,137.4335,280.8183,0
7.757,67,56.6315,89,3485,0,0.61,137.4335,280.8183,0
7.808,67,56.6315,89,3485,0,0.61,137.4335,280.8183,0
7.857,67,56.6315,89,3485,0,0.61,137.4335,280.8183,0
7.907,67,56.6315,89,3485,0,0.61,137.4335,280.8183,0
7.958,67,56.6315,89,3485,0,0.61,137.4335,280.8183,0
8.008,67,56.6315,89,3485,0,0.61,137.4335,280.8183,0
8.058,67,56.6315,89,3485,0,0.61,137.4335,280.8183,0
8.108,67,56.6315,89,3485,0,0.61,137.4335,280.8183,0
8.158,67,56.6315,89,3485,0,0.61,137.4335,280.8183,0
8.208,67,56.6315,89,3485,0,0.61,137.4335,280.8183,0
8.258,67,56.6315,89,3485,0,0.61,137.4335,280.8183,0
8.308,67,56.6315,89,3485,0,0.61,137.4335,280.8183,0
8.358,65,37.22059,89,2655,0,0.95,87.63074,235.0322,0
8.408,65,37.22059,89,2655,0,0.95,87.63074,235.0322,0
8.458,65,37.22059,89,2655,0,0.95,87.63074,235.0322,0
8.508,65,37.22059,89,2655,0,0.95,87.63074,235.0322,0
8.558,65,37.22059,89,2655,0,0.95,87.63074,235.0322,0
8.608,65,37.22059,89,2655,0,0.95,87.63074,235.0322,0
